word,kanji,katakana,meaning
わたし,,,I
あなた,,,you
あのひと,あの人,,"that person, he, she"
あのかた,あの方,,polite expression equivalent of あのひと
～さん,,,"Mr., Ms. (title of respect added to a name)"
～ちゃん,,,Suffix after the names of children and people close
じん,～人,,suffix indicating nationality; e.g.アメリカじん
せんせい,先生,,"teacher, instructor, master"
きょうし,教師,,"teacher, instructor"
がくせい,学生,,student
かいしゃいん,会社員,,"company employee, office worker"
しゃいん,社員,,"employee of ~Company, staff"
ぎんこういん,銀行員,,bank worker
いしゃ,医者,,medical doctor
けんきゅうしゃ,研究者,,"researcher, scholar"
だいがく,大学,,university
びょういん,病院,,hospital
だれ,,,who
どなた,,,polite expression equivalent of だれ
さい,...歳,,...years old
なんさい,何歳,,how old?
おいくつ,,,polite expression equivalent of なんさい
はい,,,yes
いいえ,,,no
はじめまして,初めまして。,,I’m glad to meet you.
からきました,～から来ました。,,I come from～.
どうぞよろしくおねがいします,どうぞよろしくお願いします。,,Please be nice to me.
しつれいですが,失礼ですが,,"Sorry for impoliteness, but…"
なまえは,お名前は?,,May I have your name?
こちらは～さんです。,,,This is Mr./Ms.~.
アメリカ,,1,America
イギリス,,1,England
インド,,1,India
インドネシア,,1,Indonesia
かんこく,韓国,,South Korea
タイ,,1,Thailand
ちゅうごく,中国,,China
ドイツ,,1,Germany
にほん,日本,,Japan
ブラジル,,1,Brazil
パワー,,1,power
でんき,電気,,electricity
エアー,,1,air
こうべ,神戸,,Kōbe (a location in Japan)
さくら,,,cherry blossoms
ふじ,富士,,Fuji (a location in Japan)
